Date,Open,High,Low,Close,Adj Close,Volume
2023-10-16,20.799999,20.799999,20.420000,20.500000,19.587671,20000
2023-10-17,20.410000,20.635000,20.410000,20.500000,19.587671,29400
2023-10-18,20.450001,20.687000,20.100000,20.170000,19.272358,15900
2023-10-19,20.209999,20.469999,20.000000,20.080000,19.186363,31500
2023-10-20,20.020000,20.049999,19.610001,19.670000,18.794611,55700
2023-10-23,19.760000,19.955000,19.430000,19.570000,18.699060,23500
2023-10-24,19.750000,19.750000,19.280001,19.299999,18.441076,46100
2023-10-25,19.280001,19.559999,18.879999,18.950001,18.106653,101900
2023-10-26,18.969999,19.280001,18.850000,19.080000,18.230867,124200
2023-10-27,18.990000,19.230000,18.910000,18.950001,18.106653,50700
2023-10-30,18.900000,19.049999,18.820000,18.879999,18.039768,30100
2023-10-31,18.900000,18.900000,18.695000,18.780001,17.944220,51800
2023-11-01,18.780001,18.910000,18.389999,18.600000,17.772230,14200
2023-11-02,18.780001,18.959999,18.620001,18.799999,17.963327,61800
2023-11-03,18.850000,18.910000,18.540001,18.600000,17.772230,42800
2023-11-06,18.700001,19.000000,18.600000,18.770000,17.934664,66600
2023-11-07,18.790001,19.049999,18.785000,18.990000,18.144873,57300
2023-11-08,19.070000,19.250000,18.650000,19.070000,18.221312,58000
2023-11-09,18.299999,18.930000,18.120001,18.660000,17.829559,30400
2023-11-10,18.700001,18.799999,18.545000,18.700001,17.867779,42500
2023-11-13,18.559999,18.660000,18.139999,18.160000,17.351810,16000
2023-11-14,18.150000,18.645000,17.940001,18.500000,17.676680,50400
2023-11-15,18.680000,18.700001,18.545000,18.590000,17.762674,46200
2023-11-16,18.620001,19.230000,18.480000,18.820000,17.982437,34700
2023-11-17,18.889999,19.170000,18.850000,19.110001,18.259533,81100
2023-11-20,18.959999,19.549999,18.959999,19.250000,18.393301,142700
2023-11-21,19.250000,19.250000,19.000000,19.030001,18.183094,15800
2023-11-22,19.100000,19.100000,18.690001,18.730000,17.896442,51800
2023-11-24,18.950001,19.020000,18.719999,18.870001,18.030214,10700
2023-11-27,18.879999,18.940001,18.805000,18.920000,18.077988,20600
2023-11-28,19.110001,19.110001,18.920000,18.940001,18.097099,28000
2023-11-29,18.959999,19.410000,18.959999,19.080000,18.230867,75600
