Date,Open,High,Low,Close,Adj Close,Volume
2023-09-21,6.200000,6.200000,6.200000,6.200000,6.200000,1985
2023-09-22,6.200000,6.200000,6.200000,6.200000,6.200000,0
2023-09-25,6.200000,6.200000,6.200000,6.200000,6.200000,4893
2023-09-26,6.180000,6.180000,6.150000,6.150000,6.150000,115757
2023-09-27,6.190000,6.200000,6.150000,6.150000,6.150000,10607
2023-09-28,6.200000,6.220000,6.200000,6.220000,6.220000,8824
2023-09-29,6.200000,6.200000,6.200000,6.200000,6.200000,8546
2023-10-02,6.160000,6.200000,6.160000,6.200000,6.200000,12092
2023-10-03,6.200000,6.200000,6.160000,6.190000,6.190000,13055
2023-10-04,6.180000,6.180000,6.180000,6.180000,6.180000,3554
2023-10-05,6.160000,6.160000,6.150000,6.150000,6.150000,113276
2023-10-06,6.150000,6.150000,6.100000,6.100000,6.100000,17076
2023-10-09,6.000000,6.000000,5.960000,5.960000,5.960000,95162
2023-10-10,6.000000,6.000000,6.000000,6.000000,6.000000,3848
2023-10-11,6.000000,6.000000,5.990000,5.990000,5.990000,130334
2023-10-12,5.990000,5.990000,5.990000,5.990000,5.990000,0
2023-10-13,5.950000,5.950000,5.950000,5.950000,5.950000,19528
2023-10-16,5.900000,5.900000,5.750000,5.750000,5.750000,34267
2023-10-17,5.750000,5.800000,5.750000,5.780000,5.780000,222545
2023-10-18,5.640000,5.780000,5.600000,5.780000,5.780000,304462
2023-10-19,5.840000,5.840000,5.840000,5.840000,5.840000,7854
2023-10-20,5.900000,5.900000,5.900000,5.900000,5.900000,80910
2023-10-23,5.900000,6.000000,5.900000,5.900000,5.900000,225484
2023-10-24,6.000000,6.000000,5.900000,5.900000,5.900000,8642
2023-10-25,5.950000,5.950000,5.900000,5.900000,5.900000,8602
2023-10-26,5.900000,5.900000,5.900000,5.900000,5.900000,9988
2023-10-27,5.900000,5.950000,5.900000,5.950000,5.950000,91643
2023-10-30,5.900000,5.900000,5.850000,5.850000,5.850000,133295
2023-10-31,5.850000,5.850000,5.800000,5.800000,5.800000,21906
2023-11-01,5.800000,5.800000,5.800000,5.800000,5.800000,0
2023-11-02,5.700000,5.700000,5.570000,5.610000,5.610000,88260
2023-11-03,5.600000,5.650000,5.600000,5.600000,5.600000,127282
2023-11-06,5.600000,5.700000,5.600000,5.700000,5.700000,10585
2023-11-07,5.700000,5.700000,5.700000,5.700000,5.700000,278805
2023-11-08,5.800000,5.800000,5.800000,5.800000,5.800000,3241
2023-11-09,5.850000,5.850000,5.850000,5.850000,5.850000,1762
2023-11-10,5.900000,5.900000,5.900000,5.900000,5.900000,18153
2023-11-13,5.850000,5.850000,5.850000,5.850000,5.850000,6610
2023-11-14,5.800000,5.800000,5.750000,5.750000,5.750000,37093
2023-11-15,5.700000,5.700000,5.700000,5.700000,5.700000,44614
2023-11-16,5.750000,5.750000,5.750000,5.750000,5.750000,3818
2023-11-17,5.810000,5.900000,5.810000,5.900000,5.900000,24463
2023-11-20,5.850000,5.850000,5.750000,5.750000,5.750000,8961
2023-11-21,5.750000,5.750000,5.700000,5.750000,5.750000,23212
2023-11-22,5.750000,5.750000,5.750000,5.750000,5.750000,17778
2023-11-24,5.700000,5.750000,5.700000,5.750000,5.750000,26872
2023-11-27,5.700000,5.800000,5.700000,5.800000,5.800000,41525
2023-11-28,5.850000,5.850000,5.850000,5.850000,5.850000,24786
2023-11-29,5.790000,5.850000,5.750000,5.850000,5.850000,2030034
2023-11-30,5.780000,5.780000,5.780000,5.780000,5.780000,196628
2023-12-01,5.750000,5.800000,5.750000,5.750000,5.750000,636814
2023-12-04,5.800000,5.820000,5.800000,5.820000,5.820000,10355
2023-12-05,5.850000,5.900000,5.850000,5.900000,5.900000,81292
2023-12-06,5.900000,5.900000,5.900000,5.900000,5.900000,4521
2023-12-07,5.850000,5.850000,5.850000,5.850000,5.850000,2113
2023-12-08,5.850000,5.850000,5.850000,5.850000,5.850000,0
2023-12-11,5.900000,5.900000,5.900000,5.900000,5.900000,109653
2023-12-12,5.900000,5.910000,5.900000,5.900000,5.900000,31217
2023-12-13,5.900000,5.950000,5.900000,5.950000,5.950000,13495
2023-12-14,6.050000,6.100000,6.050000,6.100000,6.100000,101911
2023-12-15,6.100000,6.200000,6.000000,6.200000,6.200000,144097
2023-12-18,6.200000,6.200000,6.050000,6.200000,6.200000,24966
2023-12-19,6.200000,6.210000,6.200000,6.200000,6.200000,264575
2023-12-20,6.250000,6.250000,6.150000,6.250000,6.250000,24388
2023-12-21,6.300000,6.300000,6.180000,6.210000,6.210000,63297
2023-12-22,6.210000,6.210000,6.210000,6.210000,6.210000,161941
2023-12-26,6.200000,6.200000,6.200000,6.200000,6.200000,49478
2023-12-27,6.200000,6.200000,6.180000,6.200000,6.200000,64562
2023-12-28,6.250000,6.250000,6.000000,6.200000,6.200000,21977
2023-12-29,6.200000,6.300000,6.200000,6.300000,6.300000,661430
2024-01-02,6.300000,6.300000,6.300000,6.300000,6.300000,0
2024-01-03,6.300000,6.300000,6.300000,6.300000,6.300000,0
2024-01-04,6.250000,6.300000,6.250000,6.250000,6.250000,13153
2024-01-05,6.250000,6.300000,6.250000,6.300000,6.300000,51390
2024-01-08,6.300000,6.300000,6.300000,6.300000,6.300000,0
2024-01-09,6.250000,6.250000,6.250000,6.250000,6.250000,5271
2024-01-10,6.200000,6.200000,6.200000,6.200000,6.200000,16824
2024-01-11,6.200000,6.220000,6.200000,6.220000,6.220000,50057
2024-01-12,6.200000,6.200000,6.200000,6.200000,6.200000,37763
2024-01-16,6.200000,6.200000,6.200000,6.200000,6.200000,2318
2024-01-17,6.150000,6.220000,6.150000,6.220000,6.220000,11496
2024-01-18,6.220000,6.290000,6.220000,6.290000,6.290000,6522
2024-01-19,6.290000,6.290000,6.290000,6.290000,6.290000,2336
2024-01-22,6.250000,6.250000,6.250000,6.250000,6.250000,37189
2024-01-23,6.290000,6.380000,6.290000,6.380000,6.380000,106759
2024-01-24,6.400000,6.480000,6.400000,6.480000,6.480000,45974
2024-01-25,6.480000,6.480000,6.400000,6.460000,6.460000,149150
2024-01-26,6.460000,6.500000,6.400000,6.500000,6.500000,31896
2024-01-29,6.450000,6.490000,6.450000,6.490000,6.490000,43117
2024-01-30,6.490000,6.500000,6.490000,6.500000,6.500000,9930
2024-01-31,6.500000,6.500000,6.490000,6.500000,6.500000,40265
2024-02-01,6.500000,6.500000,6.500000,6.500000,6.500000,0
2024-02-02,6.450000,6.480000,6.450000,6.480000,6.480000,5107
2024-02-05,6.480000,6.500000,6.480000,6.500000,6.500000,31730
2024-02-06,6.500000,6.500000,6.500000,6.500000,6.500000,48991
2024-02-07,6.450000,6.450000,6.450000,6.450000,6.450000,2615
2024-02-08,6.450000,6.500000,6.450000,6.500000,6.500000,13151
2024-02-09,6.470000,6.470000,6.450000,6.450000,6.450000,5239
2024-02-12,6.450000,6.450000,6.450000,6.450000,6.450000,0
2024-02-13,6.450000,6.500000,6.450000,6.500000,6.500000,19994
2024-02-14,6.500000,6.500000,6.500000,6.500000,6.500000,0
2024-02-15,6.520000,6.550000,6.520000,6.550000,6.550000,29082
2024-02-16,6.530000,6.530000,6.520000,6.520000,6.520000,240973
2024-02-20,6.500000,6.500000,6.500000,6.500000,6.500000,36432
2024-02-21,6.550000,6.550000,6.500000,6.500000,6.500000,15958
2024-02-22,6.500000,6.500000,6.500000,6.500000,6.500000,34887
2024-02-23,6.500000,6.500000,6.500000,6.500000,6.500000,14482
2024-02-26,6.510000,6.550000,6.510000,6.550000,6.550000,11590
2024-02-27,6.570000,6.570000,6.500000,6.500000,6.500000,5917
